iter	Logloss
0	0.6802309787
1	0.6680675552
2	0.6575411732
3	0.6473284158
4	0.6399824166
5	0.6337882786
6	0.6273288555
7	0.6215691952
8	0.6158050175
9	0.6078407177
10	0.6001000167
11	0.5956247086
12	0.5906053193
13	0.5862872491
14	0.5822654846
15	0.5780165729
16	0.5719935102
17	0.5664799634
18	0.5630232764
19	0.5595623059
20	0.5561048673
21	0.5529501939
22	0.5497952674
23	0.5470654636
24	0.5441672354
25	0.5413308681
26	0.5390524341
27	0.536559643
28	0.5342914879
29	0.5307658098
30	0.5287596182
31	0.527094961
32	0.5253183242
33	0.5235650736
34	0.5204930035
35	0.518871848
36	0.5173426961
37	0.515127642
38	0.5136972503
39	0.5124905964
40	0.5112825729
41	0.5102314778
42	0.5083665842
43	0.5066461504
44	0.5052415329
45	0.5042462293
46	0.5033831906
47	0.5023061764
48	0.501247662
49	0.5004635942
50	0.4994989974
51	0.4989269052
52	0.4970637939
53	0.4957281631
54	0.4950104728
55	0.4941969444
56	0.4933870753
57	0.492833473
58	0.4920538332
59	0.490572754
60	0.490055226
61	0.4894463588
62	0.4889679673
63	0.4883345593
64	0.4877453841
65	0.4872978322
66	0.4866483482
67	0.4856945118
68	0.4853591314
69	0.4850218147
70	0.4846169387
71	0.4835550908
72	0.4832079154
73	0.4828878513
74	0.4822857457
75	0.4818418035
76	0.480999952
77	0.4801919237
78	0.4793347872
79	0.4790160558
80	0.4786615868
81	0.4783146565
82	0.4780026556
83	0.4776946816
84	0.477438727
85	0.4770736574
86	0.4768614378
87	0.4765265859
88	0.4761471766
89	0.4758703056
90	0.4756067474
91	0.4753635888
92	0.4751559917
93	0.4748546664
94	0.4744496619
95	0.4738270941
96	0.4735064289
97	0.4730851039
98	0.4728517596
99	0.4725620931
100	0.4722885794
101	0.4719775332
102	0.4716967079
103	0.471278104
104	0.470738415
105	0.4705586311
106	0.4702741035
107	0.4697921297
108	0.4695895122
109	0.4693209594
110	0.4689250569
111	0.4686811462
112	0.468480833
113	0.4682525567
114	0.4679671647
115	0.4677195679
116	0.467580311
117	0.4673114565
118	0.4671404545
119	0.4670952005
120	0.4668900939
121	0.4664446522
122	0.466301356
123	0.4658413266
124	0.4657048862
125	0.4654712032
126	0.4652965034
127	0.4651121999
128	0.4649693232
129	0.4647771328
130	0.4646583517
131	0.4643726752
132	0.4642865141
133	0.4637344114
134	0.4635303209
135	0.463140614
136	0.4630435002
137	0.4629145437
138	0.4628008351
139	0.4626114243
140	0.4624268304
141	0.4622757375
142	0.4621625223
