iter	Logloss
143	0.4620265156
144	0.4619310102
145	0.4615994839
146	0.4614879225
147	0.461149945
148	0.4610487319
149	0.4608033859
150	0.4607032386
151	0.4603653918
152	0.4602298431
153	0.4600939235
154	0.4600107902
155	0.4599301314
156	0.4597386382
157	0.4596330718
158	0.4592774286
159	0.4591590047
160	0.4590155977
161	0.4587210502
162	0.4586319073
163	0.458472198
164	0.4583161616
165	0.4580599375
166	0.457942714
167	0.4578324493
168	0.4577273959
169	0.4575861423
170	0.457186249
171	0.4570218372
172	0.4568996574
173	0.4568745342
174	0.456747449
175	0.4565906787
176	0.4564575009
177	0.4563353809
178	0.4562270281
179	0.4560226109
180	0.4559506662
181	0.4558781934
182	0.4557609381
183	0.4556359733
184	0.4555705037
185	0.4553856153
186	0.4552484716
187	0.4550792538
188	0.454928899
189	0.4547009149
190	0.454599582
191	0.4544953556
192	0.4544154011
193	0.4543012109
194	0.4541481996
195	0.4540525741
196	0.4539414685
197	0.4538663373
198	0.4538434966
199	0.45371734
200	0.4536151641
201	0.4535079999
202	0.4534462498
203	0.4533895026
204	0.4532710918
205	0.4532141903
206	0.4531657276
207	0.4530249385
208	0.4527752303
209	0.4527465317
210	0.4526011473
211	0.4525222431
212	0.4523377841
213	0.4521988269
214	0.4519384039
215	0.4518977165
216	0.4518530039
217	0.4517993094
218	0.4516330524
219	0.4515679833
220	0.4515313531
221	0.4514077174
222	0.4512769703
223	0.4511967503
224	0.4510421487
225	0.4509978816
226	0.4508913336
227	0.450753989
228	0.450643726
229	0.4505397367
230	0.4504424579
231	0.4503446171
232	0.4502551836
233	0.4501885698
234	0.4501224037
235	0.4500240065
236	0.4499784108
237	0.4499333415
238	0.4497822497
239	0.4497299503
240	0.4496393544
241	0.4495282802
242	0.4493610094
243	0.449252454
244	0.4491318697
245	0.4490768186
246	0.449009788
247	0.4489030944
248	0.448802724
249	0.448730643
250	0.4486507928
251	0.4485426634
252	0.4484655194
253	0.4483732012
254	0.448285454
255	0.4482453411
256	0.4481484813
257	0.4480566655
258	0.4479575934
259	0.4478735344
260	0.4477937956
261	0.447669157
262	0.4475005243
263	0.4474057123
264	0.4473730592
265	0.4472943326
266	0.4472238817
267	0.4471188072
268	0.4470130594
269	0.4469530785
270	0.4469206504
271	0.4468808494
272	0.4468256002
273	0.4466129668
274	0.446534573
275	0.4464909738
276	0.4463958683
277	0.4462992895
278	0.4462244276
279	0.446151035
280	0.4460116472
281	0.4458922458
282	0.4458611832
283	0.4457980078
284	0.4456803257
285	0.4456093991
286	0.4455395898
287	0.4454777766
288	0.4454085243
289	0.4452766258
290	0.4452108938
291	0.4451813252
292	0.4450949546
293	0.4450195501
294	0.4449709358
295	0.4448877092
296	0.4446333806
297	0.4445710233
298	0.4444519522
299	0.4442715653
300	0.4442107017
301	0.4441183035
302	0.4440359354
303	0.4440109433
304	0.4439060146
305	0.4439015936
306	0.4438691142
307	0.4437456937
308	0.4436337774
309	0.4435862401
310	0.4435683278
311	0.4434599832
312	0.4432836222
313	0.4432235927
314	0.4431622889
315	0.4431549619
316	0.4430651501
317	0.4430133967
318	0.4429375062
319	0.4428988796
320	0.4428414853
321	0.442750355
322	0.4427191244
323	0.4426151948
324	0.4425248756
325	0.4424567908
326	0.4423354828
327	0.4422644668
328	0.4421871503
329	0.4421397431
330	0.4420347031
331	0.4419779744
332	0.4418789864
333	0.4418377228
334	0.441760615
335	0.4416872778
336	0.4414659856
337	0.4414358745
338	0.4413713883
339	0.4412582502
340	0.4411572352
341	0.4410973671
342	0.4409926693
343	0.4409346885
344	0.4408970833
345	0.4408316448
346	0.4407814815
347	0.4407015358
348	0.4406491776
349	0.4405172405
350	0.4404982943
351	0.4404857772
352	0.4403869693
353	0.4403475737
354	0.4402637005
355	0.4402228321
356	0.4401442838
357	0.4400235761
358	0.4399992347
359	0.4399130778
360	0.4398522008
361	0.4397567862
362	0.4396583708
363	0.4396103753
364	0.439530465
365	0.4394468763
366	0.4394005664
367	0.4393010284
368	0.4392383395
369	0.4392194471
370	0.439137112
371	0.4390947799
372	0.4390180581
373	0.4388944794
374	0.4388076271
375	0.4387555459
376	0.4387089827
377	0.4386051357
378	0.4385431724
379	0.4384981232
380	0.438409117
381	0.438347555
382	0.4382461291
383	0.4381404549
384	0.4380413899
385	0.4378955758
386	0.4377775933
387	0.4377581445
388	0.4375998409
389	0.437467094
390	0.4373496163
391	0.4372494684
392	0.4372071583
393	0.4370550123
394	0.4369936919
395	0.4369052595
396	0.4368530914
397	0.4367615767
398	0.4367267902
399	0.4366541511
400	0.4365951892
401	0.4364654197
402	0.4363809259
403	0.4363431169
404	0.4362292841
405	0.4361756366
406	0.4361430141
407	0.4360381761
408	0.435926671
409	0.4358421836
410	0.4357330404
411	0.4356369941
412	0.4355352316
413	0.4354762358
414	0.4353616614
415	0.4352317927
416	0.435136141
417	0.4350214599
418	0.4349277654
419	0.434819605
420	0.43475208
421	0.4346708872
422	0.4345905791
423	0.4344861405
424	0.4343510414
425	0.4343294752
426	0.4342834568
427	0.4341645727
428	0.434081137
429	0.4340587386
430	0.433991988
431	0.4338757505
432	0.4338073469
433	0.433723014
434	0.4336366455
435	0.4335887132
436	0.4334658892
437	0.4334320249
438	0.4333516647
439	0.4332553842
440	0.4332079261
441	0.4330867809
442	0.4329639277
443	0.4328520409
444	0.4328238491
445	0.432723187
446	0.4326135856
447	0.4325357673
448	0.4324465482
449	0.4323732189
450	0.4323579957
451	0.4323174886
452	0.4321881187
453	0.4321655776
454	0.4320413402
455	0.4319539456
456	0.431940871
457	0.4318807012
458	0.4317410871
459	0.4316777547
460	0.4315826896
461	0.4314524445
462	0.4314118022
463	0.4313161114
464	0.4312327844
465	0.4311919499
466	0.4310896743
467	0.4310269179
468	0.4309851231
469	0.4309021601
470	0.4307566692
471	0.4306201062
472	0.4305106053
473	0.4304287844
474	0.4303972329
475	0.4303158792
476	0.4302948573
477	0.430185384
478	0.4300724937
479	0.4299431334
480	0.4298899303
481	0.4297691566
482	0.4297201361
483	0.4295736307
484	0.429505724
485	0.429418461
486	0.4293460024
487	0.4292435005
488	0.4291091844
489	0.4290137862
490	0.4289303645
491	0.4288900138
492	0.4287998975
493	0.4286627639
494	0.4285538433
495	0.4284862936
496	0.4283727221
497	0.4282216218
498	0.4281053574
499	0.4280539319
500	0.4279870353
501	0.427882673
502	0.4278427529
503	0.4278138459
